"Symbol","Outcome","Risk","PlannedRR","CostR","GrossR","NetR","HoldBars"
"USDJPY","win","0.0280799999999886","2.00000000000101","0.631908831908851","2.00000000000101","1.36809116809216","1"
"USDJPY","win","0.0316799999999944","2.0000000000009","0.575252525251843","2.0000000000009","1.42474747474905","1"
"USDJPY","win","0.0621600000000058","2","0.358558558558577","2","1.64144144144142","1"
"USDJPY","win","0.0261600000000044","2","0.668501529052425","2","1.33149847094758","1"
"USDJPY","win","0.0926399999999887","2.00000000000031","0.284455958548981","2.00000000000031","1.71554404145133","1"
"USDJPY","loss","0.0407999999999902","2.0000000000007","0.476470588234786","-1","-1.47647058823479","1"
"USDJPY","win","0.028080000000017","1.99999999999899","0.631908831908212","1.99999999999899","1.36809116809078","1"
"USDJPY","win","0.0352800000000002","2","0.530158730159119","2","1.46984126984088","19"
"USDJPY","loss","0.0268800000000056","1.99999999999894","0.654166666666508","-1","-1.65416666666651","3"
"USDJPY","win","0.0456000000000074","2","0.440350877193069","2","1.55964912280693","1"
"USDJPY","win","0.0350400000000093","1.99999999999919","0.532876712328082","1.99999999999919","1.46712328767111","1"
"USDJPY","win","0.0223200000000077","2","0.760573476702232","2","1.23942652329777","1"
"USDJPY","loss","0.0187200000000018","2","0.881196581197447","-1","-1.88119658119745","1"
"USDJPY","win","0.0112799999999993","2","1.41843971631388","2","0.581560283686121","1"
"USDJPY","win","0.0177600000000098","2","0.921621621621111","2","1.07837837837889","2"
"USDJPY","loss","0.0187200000000018","1.99999999999848","0.881196581197447","-1","-1.88119658119745","1"
"USDJPY","win","0.0482399999999927","2","0.423548922057029","2","1.57645107794297","1"
"USDJPY","win","0.0218399999999974","2","0.774358974358641","2","1.22564102564136","1"
"USDJPY","loss","0.0175199999999904","2.00000000000162","0.932420091326074","-1","-1.93242009132607","1"
"USDJPY","loss","0.0196800000000223","1.99999999999856","0.844715447152439","-1","-1.84471544715244","1"
"USDJPY","win","0.0172799999999995","2","0.943518518518024","2","1.05648148148198","1"
"USDJPY","loss","0.0143999999999949","2.00000000000197","1.11111111111287","-1","-2.11111111111287","13"
"USDJPY","loss","0.0143999999999949","2","1.11111111111287","-1","-2.11111111111287","1"
"USDJPY","loss","0.026159999999976","2.00000000000109","0.668501529053151","-1","-1.66850152905315","1"
"USDJPY","win","0.02928","2","0.611475409835631","2","1.38852459016437","5"
"USDJPY","loss","0.0182399999999916","2","0.900877192983358","-1","-1.90087719298336","1"
"USDJPY","win","0.098399999999998","2","0.27560975609782","2","1.72439024390218","1"
"USDJPY","loss","0.0527999999999906","2.00000000000054","0.398484848485444","-1","-1.39848484848544","1"
"USDJPY","loss","0.0273599999999874","2","0.645029239766683","-1","-1.64502923976668","1"
"USDJPY","win","0.0136799999999937","2","1.16959064327682","2","0.830409356723178","1"
"USDJPY","loss","0.0278399999999976","2","0.636206896552398","-1","-1.6362068965524","1"
"USDJPY","loss","0.0208800000000053","1.99999999999864","0.803831417623014","-1","-1.80383141762301","1"
"USDJPY","loss","0.0537600000000111","1.99999999999947","0.393749999999709","-1","-1.39374999999971","1"
"XAUUSD","loss","3.84959999999955","2.00000000000024","0.335078969243403","-1","-1.3350789692434","1"
"XAUUSD","win","8.33759999999984","2.00000000000011","0.262368067549359","2.00000000000011","1.73763193245075","3"
"XAUUSD","win","3.84000000000015","2","0.335416666666775","2","1.66458333333322","4"
"XAUUSD","win","7.03679999999986","2","0.273897226011784","2","1.72610277398822","1"
"XAUUSD","win","5.88960000000043","1.99999999999985","0.288291225210608","1.99999999999985","1.71170877478924","1"
"XAUUSD","win","2.43119999999999","2.00000000000037","0.413886146759057","2.00000000000037","1.58611385324132","1"
"XAUUSD","win","2.85599999999977","2.00000000000032","0.382072829131948","2.00000000000032","1.61792717086837","1"
"XAUUSD","win","4.54560000000038","1.9999999999998","0.314396339317268","1.9999999999998","1.68560366068253","1"
"XAUUSD","win","7.97999999999956","2.00000000000011","0.265162907268183","2.00000000000011","1.73483709273193","1"
"XAUUSD","loss","3.8783999999996","2.00000000000023","0.334075907590604","-1","-1.3340759075906","1"
"XAUUSD","win","11.7672000000002","2","0.244190631586047","2","1.75580936841395","1"
"XAUUSD","win","2.75759999999991","2","0.388569770815036","2","1.61143022918496","1"
"XAUUSD","loss","4.35840000000007","2","0.319309838472974","-1","-1.31930983847297","1"
"XAUUSD","loss","3.77040000000034","1.99999999999976","0.337916401442584","-1","-1.33791640144258","1"
"XAUUSD","loss","13.1351999999997","2.00000000000007","0.239588281868559","-1","-1.23958828186856","1"
"XAUUSD","win","7.46880000000056","1.99999999999988","0.269622964867137","1.99999999999988","1.73037703513274","1"
"XAUUSD","win","2.83680000000004","2","0.383305132543542","2","1.61669486745646","1"
"XAUUSD","win","3.8112000000001","1.99999999999976","0.336439966414888","1.99999999999976","1.66356003358487","1"
"XAUUSD","win","8.69279999999981","2.0000000000001","0.259819620835665","2.0000000000001","1.74018037916444","14"
"XAUUSD","win","3.02399999999943","2","0.371957671957608","2","1.62804232804239","1"
"XAUUSD","win","3.08160000000044","1.9999999999997","0.368743509864828","1.9999999999997","1.63125649013488","1"
"XAUUSD","win","2.61119999999937","2.00000000000035","0.3991421568631","2.00000000000035","1.60085784313725","1"
"XAUUSD","win","9.88560000000052","1.99999999999991","0.252601764182231","1.99999999999991","1.74739823581768","1"
"XAUUSD","loss","2.91600000000017","2","0.378326474622598","-1","-1.3783264746226","1"
"XAUUSD","win","3.82079999999951","2.00000000000024","0.336097152428657","2.00000000000024","1.66390284757158","1"
"XAUUSD","win","2.10719999999947","2.00000000000043","0.446772968868997","2.00000000000043","1.55322703113143","1"
"XAUUSD","loss","4.44480000000021","1.9999999999998","0.316990640748874","-1","-1.31699064074887","1"
"XAUUSD","win","5.66880000000037","2","0.291730172170323","2","1.70826982782968","1"
"XAUUSD","win","6.70560000000023","1.99999999999993","0.277547124791146","1.99999999999993","1.72245287520879","3"
"XAUUSD","loss","15.5832","2","0.233369269469725","-1","-1.23336926946972","1"
"XAUUSD","win","7.9368000000004","1.99999999999989","0.265517588952709","1.99999999999989","1.73448241104718","1"
"XAUUSD","win","3.37199999999939","2.00000000000027","0.354211150652589","2.00000000000027","1.64578884934768","1"
"XAUUSD","loss","9.51360000000022","1.9999999999999","0.254658594012826","-1","-1.25465859401283","8"
"XAUUSD","loss","2.4336000000003","1.99999999999963","0.413675213674919","-1","-1.41367521367492","1"
"XAUUSD","win","3.88800000000083","1.99999999999988","0.333744855966975","1.99999999999988","1.66625514403291","1"
